,track id,Genre, amazement, solemnity, tenderness, nostalgia, calmness, power, joyful_activation, tension, sadness, mood, liked, disliked, age, gender, mother tongue,merge_key,Title,Artist,Key,BPM,file_id
0,1,classical,0,1,0,0,0,0,1,1,0,3,1,0,21,1,English,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
1,1,classical,0,0,0,1,0,0,0,0,0,3,0,1,41,1,Dutch,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
2,1,classical,0,0,0,1,0,0,0,0,1,3,0,0,24,1,English,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
3,1,classical,0,0,0,0,1,0,0,0,0,3,0,0,32,0,Spanish,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
4,1,classical,0,0,0,1,1,0,0,0,0,4,0,1,21,0,English,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
5,1,classical,0,1,0,1,0,0,0,0,1,3,0,0,45,1,English,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
6,1,classical,0,0,0,0,1,0,0,0,0,4,0,1,30,0,German,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
7,1,classical,0,1,1,0,1,0,0,0,0,4,1,0,70,1,English,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
8,1,classical,0,0,0,0,1,0,1,0,0,2,1,0,60,0,English,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
9,1,classical,0,0,0,0,1,0,0,0,0,5,1,0,54,0,German,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
10,1,classical,0,0,0,1,1,0,1,0,0,4,1,0,16,1,English,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
11,1,classical,0,0,1,1,0,0,0,0,0,4,0,0,30,1,Dutch,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
12,1,classical,0,0,1,1,0,0,0,0,1,1,0,0,33,0,Russian,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
13,1,classical,0,0,0,1,1,0,0,0,1,4,0,0,16,1,Swedish,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
14,1,classical,1,0,0,0,1,0,0,0,1,3,0,0,33,0,Dutch,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
15,1,classical,0,1,0,0,0,0,0,0,0,4,0,1,41,0,English,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
16,1,classical,1,1,0,0,0,0,1,0,0,5,1,0,40,0,German,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
17,1,classical,0,0,1,0,0,0,0,0,1,5,1,0,61,0,English,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
18,1,classical,0,1,0,0,0,1,0,0,1,3,0,0,26,0,French,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
19,1,classical,1,0,0,0,1,0,0,0,0,3,0,0,22,0,Malay,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
20,1,classical,0,0,0,1,0,0,0,0,0,4,0,0,51,0,Dutch,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
21,1,classical,0,0,0,0,1,0,0,0,0,4,1,0,20,0,English,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
22,1,classical,0,0,0,0,1,0,0,0,0,4,1,0,41,1,Russian,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
23,1,classical,0,1,1,0,1,0,0,0,0,4,1,0,63,0,Dutch,1-classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music,D♭ Minor,73,1
